epsilon,dp_accuracy,lambda,accuracy,size
1.0,0.6933,1.0,0.6933,40000
0.8,0.6935,1.0,0.6933,40000
0.5,0.6935,1.0,0.6933,40000
0.1,0.6932,1.0,0.6933,40000
0.08,0.6928,1.0,0.6933,40000
0.05,0.6925,1.0,0.6933,40000
0.01,0.6903,1.0,0.6933,40000
0.005,0.6881,1.0,0.6933,40000
0.001,0.6172,1.0,0.6933,40000
1.0,0.6923,0.1,0.6927,40000
0.8,0.6927,0.1,0.6927,40000
0.5,0.6927,0.1,0.6927,40000
0.1,0.6895,0.1,0.6927,40000
0.08,0.6894,0.1,0.6927,40000
0.05,0.6849,0.1,0.6927,40000
0.01,0.5955,0.1,0.6927,40000
0.005,0.5856,0.1,0.6927,40000
0.001,0.3126,0.1,0.6927,40000
1.0,0.6916,0.05,0.6915,40000
0.8,0.6916,0.05,0.6915,40000
0.5,0.6923,0.05,0.6915,40000
0.1,0.6905,0.05,0.6915,40000
0.08,0.6817,0.05,0.6915,40000
0.05,0.6576,0.05,0.6915,40000
0.01,0.4716,0.05,0.6915,40000
0.005,0.4067,0.05,0.6915,40000
0.001,0.2074,0.05,0.6915,40000
1.0,0.6907,0.01,0.6893,40000
0.8,0.6872,0.01,0.6893,40000
0.5,0.6803,0.01,0.6893,40000
0.1,0.5995,0.01,0.6893,40000
0.08,0.5801,0.01,0.6893,40000
0.05,0.4343,0.01,0.6893,40000
0.01,0.1319,0.01,0.6893,40000
0.005,0.1851,0.01,0.6893,40000
0.001,0.1373,0.01,0.6893,40000
1.0,0.6378,0.001,0.6817,40000
0.8,0.5544,0.001,0.6817,40000
0.5,0.4585,0.001,0.6817,40000
0.1,0.3049,0.001,0.6817,40000
0.08,0.2339,0.001,0.6817,40000
0.05,0.2648,0.001,0.6817,40000
0.01,0.1202,0.001,0.6817,40000
0.005,0.1254,0.001,0.6817,40000
0.001,0.1225,0.001,0.6817,40000
1.0,0.6942,10.0,0.6942,80000
0.8,0.6942,10.0,0.6942,80000
0.5,0.6942,10.0,0.6942,80000
0.1,0.6942,10.0,0.6942,80000
0.08,0.6942,10.0,0.6942,80000
0.05,0.69435,10.0,0.6942,80000
0.01,0.69445,10.0,0.6942,80000
0.005,0.6941,10.0,0.6942,80000
0.001,0.69305,10.0,0.6942,80000
1.0,0.6943,2.0,0.69425,80000
0.8,0.6942,2.0,0.69425,80000
0.5,0.69415,2.0,0.69425,80000
0.1,0.6942,2.0,0.69425,80000
0.08,0.6941,2.0,0.69425,80000
0.05,0.69415,2.0,0.69425,80000
0.01,0.69375,2.0,0.69425,80000
0.005,0.69335,2.0,0.69425,80000
0.001,0.6782,2.0,0.69425,80000
1.0,0.69395,1.0,0.694,80000
0.8,0.6941,1.0,0.694,80000
0.5,0.69405,1.0,0.694,80000
0.1,0.6942,1.0,0.694,80000
0.08,0.6943,1.0,0.694,80000
0.05,0.69525,1.0,0.694,80000
0.01,0.69345,1.0,0.694,80000
0.005,0.6956,1.0,0.694,80000
0.001,0.6705,1.0,0.694,80000
1.0,0.69375,0.1,0.69355,80000
0.8,0.6937,0.1,0.69355,80000
0.5,0.6942,0.1,0.69355,80000
0.1,0.69385,0.1,0.69355,80000
0.08,0.69345,0.1,0.69355,80000
0.05,0.68835,0.1,0.69355,80000
0.01,0.65335,0.1,0.69355,80000
0.005,0.63245,0.1,0.69355,80000
0.001,0.3019,0.1,0.69355,80000
1.0,0.69345,0.05,0.69345,80000
0.8,0.6933,0.05,0.69345,80000
0.5,0.69355,0.05,0.69345,80000
0.1,0.69125,0.05,0.69345,80000
0.08,0.69175,0.05,0.69345,80000
0.05,0.6911,0.05,0.69345,80000
0.01,0.60355,0.05,0.69345,80000
0.005,0.56765,0.05,0.69345,80000
0.001,0.23965,0.05,0.69345,80000
1.0,0.6924,0.01,0.6919,80000
0.8,0.693,0.01,0.6919,80000
0.5,0.6933,0.01,0.6919,80000
0.1,0.63265,0.01,0.6919,80000
0.08,0.61885,0.01,0.6919,80000
0.05,0.5522,0.01,0.6919,80000
0.01,0.28325,0.01,0.6919,80000
0.005,0.24005,0.01,0.6919,80000
0.001,0.1873,0.01,0.6919,80000
1.0,0.67435,0.001,0.6861,80000
0.8,0.6372,0.001,0.6861,80000
0.5,0.6145,0.001,0.6861,80000
0.1,0.3796,0.001,0.6861,80000
0.08,0.1761,0.001,0.6861,80000
0.05,0.16425,0.001,0.6861,80000
0.01,0.1623,0.001,0.6861,80000
0.005,0.17145,0.001,0.6861,80000
0.001,0.1796,0.001,0.6861,80000
1.0,0.6955,10.0,0.6955,160000
0.8,0.6955,10.0,0.6955,160000
0.5,0.6955,10.0,0.6955,160000
